block,xmin,xmax,ymin,ymax,overlap,area
76,627379.7455,627847.5575,1011459.241,1011888.108,TRUE,192892.7472
77,627847.5575,628315.3695,1011459.241,1011888.108,TRUE,198827.6407
78,628315.3695,628783.1816,1011459.241,1011888.108,TRUE,189948.7429
79,628783.1816,629250.9936,1011459.241,1011888.108,TRUE,66664.2419
80,624105.0613,624572.8733,1011030.374,1011459.241,TRUE,26046.9221
81,624572.8733,625040.6854,1011030.374,1011459.241,TRUE,187117.2532
82,625040.6854,625508.4974,1011030.374,1011459.241,TRUE,200629.011
83,625508.4974,625976.3094,1011030.374,1011459.241,TRUE,200629.011
84,625976.3094,626444.1214,1011030.374,1011459.241,TRUE,200629.011
85,626444.1214,626911.9335,1011030.374,1011459.241,TRUE,200629.011
86,626911.9335,627379.7455,1011030.374,1011459.241,TRUE,162205.7152
87,627379.7455,627847.5575,1011030.374,1011459.241,TRUE,103951.8015
88,627847.5575,628315.3695,1011030.374,1011459.241,TRUE,58092.84262
89,628315.3695,628783.1816,1011030.374,1011459.241,TRUE,23114.82933
90,628783.1816,629250.9936,1011030.374,1011459.241,TRUE,53595.65773
91,624572.8733,625040.6854,1010601.508,1011030.374,TRUE,27418.21371
92,625040.6854,625508.4974,1010601.508,1011030.374,TRUE,165458.4786
93,625508.4974,625976.3094,1010601.508,1011030.374,TRUE,175986.2584
94,625976.3094,626444.1214,1010601.508,1011030.374,TRUE,100198.8185
95,626444.1214,626911.9335,1010601.508,1011030.374,TRUE,200629.011
96,626911.9335,627379.7455,1010601.508,1011030.374,TRUE,81125.14966
97,627379.7455,627847.5575,1010601.508,1011030.374,TRUE,12415.75326
98,627847.5575,628315.3695,1010601.508,1011030.374,TRUE,4474.06392
99,628315.3695,628783.1816,1010601.508,1011030.374,TRUE,28869.77096
100,628783.1816,629250.9936,1010601.508,1011030.374,TRUE,52576.65977
101,625040.6854,625508.4974,1010172.641,1010601.508,TRUE,8333.868595
102,625508.4974,625976.3094,1010172.641,1010601.508,TRUE,18394.23626
103,625976.3094,626444.1214,1010172.641,1010601.508,TRUE,74209.92662
104,626444.1214,626911.9335,1010172.641,1010601.508,TRUE,182734.3482
105,626911.9335,627379.7455,1010172.641,1010601.508,TRUE,54471.44089
106,628315.3695,628783.1816,1010172.641,1010601.508,TRUE,1542.707643
107,625976.3094,626444.1214,1009743.774,1010172.641,TRUE,30.20273289
108,626444.1214,626911.9335,1009743.774,1010172.641,TRUE,96500.92222
109,626911.9335,627379.7455,1009743.774,1010172.641,TRUE,11564.20793
